id	cluster
out_0	cluster_IV
out_1	cluster_IV
out_2	cluster_IV
out_3	cluster_IV
out_4	cluster_IV
out_5	cluster_IV
out_6	cluster_IV
out_7	cluster_IV
out_8	cluster_IV
out_9	cluster_IV
out_10	cluster_IV
out_11	cluster_IV
out_12	cluster_IV
out_13	cluster_IV
out_14	cluster_IV
out_15	cluster_IV
out_16	cluster_IV
out_17	cluster_IV
out_18	cluster_IV
out_19	cluster_IV
out_20	cluster_IV
out_21	cluster_IV
out_22	cluster_IV
out_23	cluster_IV
out_24	cluster_IV
out_25	cluster_IV
out_26	cluster_IV
out_27	cluster_IV
out_28	cluster_IV
out_29	cluster_IV
out_30	cluster_IV
out_31	cluster_IV
out_32	cluster_IV
out_33	cluster_IV
out_34	cluster_IV
out_35	cluster_IV
out_36	cluster_IV
out_37	cluster_IV
out_38	cluster_IV
out_39	cluster_IV
out_40	cluster_IV
out_41	cluster_IV
out_42	cluster_IV
out_43	cluster_IV
out_44	cluster_IV
out_45	cluster_IV
out_46	cluster_IV
out_47	cluster_IV
out_48	cluster_III
out_49	cluster_IV
out_50	cluster_IV
out_51	cluster_IV
out_52	cluster_IV
out_53	cluster_IV
out_54	cluster_IV
out_55	cluster_IV
out_56	cluster_IV
out_57	cluster_IV
out_58	cluster_IV
out_59	cluster_IV
out_60	cluster_IV
out_61	cluster_IV
out_62	cluster_IV
out_63	cluster_IV
out_64	cluster_IV
out_65	cluster_IV
out_66	cluster_IV
out_67	cluster_IV
out_68	cluster_IV
out_69	cluster_IV
out_70	cluster_IV
out_71	cluster_IV
out_72	cluster_IV
out_73	cluster_IV
out_74	cluster_IV
out_75	cluster_IV
out_76	cluster_IV
out_77	cluster_IV
out_78	cluster_IV
out_79	cluster_IV
out_80	cluster_IV
out_81	cluster_IV
out_82	cluster_IV
out_83	cluster_IV
out_84	cluster_IV
out_85	cluster_IV
out_86	cluster_IV
out_87	cluster_IV
out_88	cluster_IV
out_89	cluster_IV
out_90	cluster_IV
out_91	cluster_IV
out_92	cluster_IV
out_93	cluster_IV
out_94	cluster_IV
out_95	cluster_IV
out_96	cluster_IV
out_97	cluster_IV
out_98	cluster_IV
out_99	cluster_IV
ref_0	cluster_II
ref_1	cluster_III
ref_2	cluster_IV
ref_3	cluster_I
ref_4	cluster_III
ref_5	cluster_III
ref_6	cluster_III
ref_7	cluster_I
ref_8	cluster_I
ref_9	cluster_I
ref_10	cluster_IV
ref_11	cluster_IV
ref_12	cluster_IV
ref_13	cluster_I
ref_14	cluster_III
ref_15	cluster_IV
ref_16	cluster_I
ref_17	cluster_II
ref_18	cluster_II
ref_19	cluster_I
ref_20	cluster_III
ref_21	cluster_IV
ref_22	cluster_IV
ref_23	cluster_IV
ref_24	cluster_I
ref_25	cluster_IV
ref_26	cluster_III
ref_27	cluster_III
ref_28	cluster_IV
ref_29	cluster_I
ref_30	cluster_III
ref_31	cluster_III
ref_32	cluster_I
ref_33	cluster_I
ref_34	cluster_I
ref_35	cluster_III
ref_36	cluster_IV
ref_37	cluster_I
ref_38	cluster_I
ref_39	cluster_III
ref_40	cluster_I
ref_41	cluster_IV
ref_42	cluster_IV
ref_43	cluster_IV
ref_44	cluster_I
ref_45	cluster_III
ref_46	cluster_I
ref_47	cluster_II
ref_48	cluster_IV
ref_49	cluster_III
ref_50	cluster_IV
ref_51	cluster_III
ref_52	cluster_III
ref_53	cluster_I
ref_54	cluster_I
ref_55	cluster_IV
ref_56	cluster_II
ref_57	cluster_IV
ref_58	cluster_I
ref_59	cluster_III
ref_60	cluster_I
ref_61	cluster_III
ref_62	cluster_III
ref_63	cluster_I
ref_64	cluster_IV
ref_65	cluster_I
ref_66	cluster_II
ref_67	cluster_I
ref_68	cluster_IV
ref_69	cluster_IV
ref_70	cluster_I
ref_71	cluster_IV
ref_72	cluster_II
ref_73	cluster_III
ref_74	cluster_III
ref_75	cluster_I
ref_76	cluster_IV
ref_77	cluster_III
ref_78	cluster_III
ref_79	cluster_III
ref_80	cluster_III
ref_81	cluster_I
ref_82	cluster_I
ref_83	cluster_I
ref_84	cluster_I
ref_85	cluster_I
ref_86	cluster_III
ref_87	cluster_II
ref_88	cluster_III
ref_89	cluster_I
ref_90	cluster_I
ref_91	cluster_I
ref_92	cluster_IV
ref_93	cluster_I
ref_94	cluster_II
ref_95	cluster_IV
ref_96	cluster_III
ref_97	cluster_II
ref_98	cluster_III
ref_99	cluster_I
ref_100	cluster_IV
ref_101	cluster_III
ref_102	cluster_I
ref_103	cluster_III
ref_104	cluster_I
ref_105	cluster_I
ref_106	cluster_IV
ref_107	cluster_I
ref_108	cluster_III
ref_109	cluster_I
ref_110	cluster_IV
ref_111	cluster_I
ref_112	cluster_III
ref_113	cluster_I
ref_115	cluster_I
ref_116	cluster_III
ref_117	cluster_II
ref_118	cluster_I
ref_119	cluster_IV
ref_120	cluster_IV
ref_121	cluster_IV
ref_122	cluster_IV
ref_123	cluster_I
ref_124	cluster_IV
ref_125	cluster_IV
ref_126	cluster_III
ref_127	cluster_III
ref_128	cluster_I
ref_129	cluster_I
ref_130	cluster_IV
ref_131	cluster_I
ref_132	cluster_IV
ref_133	cluster_III
ref_134	cluster_II
ref_135	cluster_I
ref_136	cluster_III
ref_137	cluster_I
ref_138	cluster_IV
ref_139	cluster_IV
ref_140	cluster_IV
ref_141	cluster_II
ref_142	cluster_IV
ref_143	cluster_II
ref_144	cluster_III
ref_145	cluster_IV
ref_146	cluster_I
ref_147	cluster_IV
ref_148	cluster_II
ref_149	cluster_III
ref_150	cluster_I
ref_151	cluster_III
ref_152	cluster_III
ref_153	cluster_I
ref_154	cluster_I
ref_155	cluster_IV
ref_156	cluster_IV
ref_157	cluster_I
ref_158	cluster_III
ref_159	cluster_I
ref_160	cluster_IV
ref_161	cluster_IV
ref_162	cluster_III
ref_163	cluster_III
ref_164	cluster_II
ref_165	cluster_II
ref_166	cluster_IV
ref_167	cluster_III
ref_168	cluster_IV
ref_169	cluster_I
ref_170	cluster_IV
ref_171	cluster_I
ref_172	cluster_I
ref_173	cluster_I
ref_174	cluster_II
ref_175	cluster_III
ref_176	cluster_I
ref_177	cluster_IV
ref_178	cluster_II
ref_179	cluster_IV
ref_180	cluster_II
ref_181	cluster_IV
ref_182	cluster_III
ref_183	cluster_II
ref_184	cluster_III
ref_185	cluster_IV
ref_186	cluster_I
ref_187	cluster_IV
ref_188	cluster_IV
ref_189	cluster_IV
ref_190	cluster_II
ref_191	cluster_III
ref_192	cluster_III
ref_193	cluster_III
ref_194	cluster_II
ref_195	cluster_I
ref_196	cluster_III
ref_197	cluster_I
ref_198	cluster_IV
ref_199	cluster_I
ref_200	cluster_III
ref_201	cluster_I
ref_202	cluster_III
ref_203	cluster_IV
ref_204	cluster_III
ref_205	cluster_I
ref_206	cluster_IV
ref_207	cluster_III
ref_208	cluster_IV
ref_209	cluster_III
ref_210	cluster_IV
ref_211	cluster_IV
ref_212	cluster_I
ref_213	cluster_IV
ref_214	cluster_IV
ref_215	cluster_IV
ref_216	cluster_I
ref_217	cluster_III
ref_218	cluster_III
ref_219	cluster_IV
ref_220	cluster_IV
ref_221	cluster_III
ref_222	cluster_IV
ref_223	cluster_IV
ref_224	cluster_III
ref_225	cluster_II
ref_azo	cluster_I
