family	counts	fraction
f__Methanosarcinaceae	17	0.07296137339055794
f__Methanococcaceae	12	0.05150214592274678
f__Desulfovibrionaceae	10	0.04291845493562232
f__Rhodobacteraceae	7	0.030042918454935622
f__Desulfobacteraceae	7	0.030042918454935622
f__Clostridiaceae	5	0.02145922746781116
f__ANME-1	5	0.02145922746781116
f__Paenibacillaceae	5	0.02145922746781116
f__Methanocaldococcaceae	5	0.02145922746781116
f__Geitlerinemaceae	4	0.017167381974248927
f__Methanocullaceae	4	0.017167381974248927
f__Methanomicrobiaceae	4	0.017167381974248927
f__UBA9042	4	0.017167381974248927
f__Nostocaceae	3	0.012875536480686695
f__Lachnospiraceae	3	0.012875536480686695
f__Microcystaceae	3	0.012875536480686695
f__Xanthobacteraceae	3	0.012875536480686695
f__Methanospirillaceae	3	0.012875536480686695
f__Desulfocapsaceae	3	0.012875536480686695
f__Methylomonadaceae	3	0.012875536480686695
f__Desulfatibacillaceae	2	0.008583690987124463
f__Chromatiaceae	2	0.008583690987124463
f__Rhodocyclaceae	2	0.008583690987124463
f__UBA3076	2	0.008583690987124463
f__Syntrophoarchaeaceae	2	0.008583690987124463
f__Vallitaleaceae	2	0.008583690987124463
f__Prolixibacteraceae	2	0.008583690987124463
f__Magnetococcaceae	2	0.008583690987124463
f__Vibrionaceae	2	0.008583690987124463
f__Caminicellaceae	2	0.008583690987124463
f__Methanobacteriaceae	2	0.008583690987124463
f__Pseudomonadaceae	2	0.008583690987124463
f__Rhizobiaceae	2	0.008583690987124463
f__Afifellaceae	2	0.008583690987124463
f__Chlorobiaceae	2	0.008583690987124463
f__Geopsychrobacteraceae	2	0.008583690987124463
f__Marinifilaceae	2	0.008583690987124463
f__Nautiliaceae	2	0.008583690987124463
f__UBA5342	2	0.008583690987124463
f__Enterobacteriaceae	2	0.008583690987124463
f__Phormidiaceae	2	0.008583690987124463
f__SZUA-567	1	0.004291845493562232
f__Coleofasciculaceae	1	0.004291845493562232
f__Rhodospirillaceae	1	0.004291845493562232
f__Phormidesmiaceae	1	0.004291845493562232
f__SZUA-242	1	0.004291845493562232
f__Desulfotomaculaceae_A	1	0.004291845493562232
f__Elainellaceae	1	0.004291845493562232
f__Desulfomicrobiaceae	1	0.004291845493562232
f__NaphS2	1	0.004291845493562232
f__Denitrovibrionaceae	1	0.004291845493562232
f__Oleiphilaceae	1	0.004291845493562232
f__Polyangiaceae	1	0.004291845493562232
f__Cryomorphaceae	1	0.004291845493562232
f__Amorphaceae	1	0.004291845493562232
f__Kyrpidiaceae	1	0.004291845493562232
f__Acetivibrionaceae	1	0.004291845493562232
f__Psychromonadaceae_A	1	0.004291845493562232
f__Marinilabiliaceae	1	0.004291845493562232
f__Porticoccaceae	1	0.004291845493562232
f__Petrotogaceae	1	0.004291845493562232
f__SK-Y3	1	0.004291845493562232
f__Acidihalobacteraceae	1	0.004291845493562232
f__Desulfurobacteriaceae	1	0.004291845493562232
f__Thermodesulfatatoraceae	1	0.004291845493562232
f__Desulfococcaceae	1	0.004291845493562232
f__Arcobacteraceae	1	0.004291845493562232
f__HR1	1	0.004291845493562232
f__Nitrincolaceae	1	0.004291845493562232
f__UBA1859	1	0.004291845493562232
f__Methanopyraceae	1	0.004291845493562232
f__Sulfurovaceae	1	0.004291845493562232
f__Thermodesulfobacteriaceae	1	0.004291845493562232
f__Desulfotomaculaceae	1	0.004291845493562232
f__UBA3505	1	0.004291845493562232
f__Thermoanaerobacteraceae	1	0.004291845493562232
f__Victivallaceae	1	0.004291845493562232
f__Methyloligellaceae	1	0.004291845493562232
f__BMS3B	1	0.004291845493562232
f__C00003106	1	0.004291845493562232
f__Opitutaceae	1	0.004291845493562232
f__Syntrophobacteraceae	1	0.004291845493562232
f__Spirochaetaceae_B	1	0.004291845493562232
f__UBA5550	1	0.004291845493562232
f__Desulfobulbaceae	1	0.004291845493562232
f__Calderihabitantaceae	1	0.004291845493562232
f__Magnetovibrionaceae	1	0.004291845493562232
f__21-64-14	1	0.004291845493562232
f__Pelobacteraceae_A	1	0.004291845493562232
f__Chloroherpetonaceae	1	0.004291845493562232
f__Peptostreptococcaceae	1	0.004291845493562232
f__Sulfurimonadaceae	1	0.004291845493562232
f__Nannocystaceae	1	0.004291845493562232
f__UBA3067	1	0.004291845493562232
f__Sphingomonadaceae	1	0.004291845493562232
f__UBA5335	1	0.004291845493562232
f__Flavobacteriaceae	1	0.004291845493562232
f__Fusobacteriaceae	1	0.004291845493562232
f__UBA6902	1	0.004291845493562232
f__Psychromonadaceae	1	0.004291845493562232
f__RBG-16-57-12	1	0.004291845493562232
f__Defluviitaleaceae	1	0.004291845493562232
f__Puniceicoccaceae	1	0.004291845493562232
f__UBA6053	1	0.004291845493562232
f__Cohaesibacteraceae	1	0.004291845493562232
f__Thiohalomonadaceae	1	0.004291845493562232
f__Xenococcaceae	1	0.004291845493562232
f__Treponemataceae	1	0.004291845493562232
f__Dissulfuribacteraceae	1	0.004291845493562232
f__Defferisomataceae	1	0.004291845493562232
f__Hyphomonadaceae	1	0.004291845493562232
f__BMS3Bbin11	1	0.004291845493562232
f__Archaeoglobaceae	1	0.004291845493562232
f__Phycisphaeraceae	1	0.004291845493562232
f__BuS5	1	0.004291845493562232
Unspecified	7	0.030042918454935622
