genus	counts	fraction
g__Methanosarcina	9	0.03862660944206009
g__Paenibacillus	5	0.02145922746781116
g__Methanothermococcus_A	4	0.017167381974248927
g__Methanococcus	4	0.017167381974248927
g__Methanocaldococcus	3	0.012875536480686695
g__UBA206	3	0.012875536480686695
g__Methanolacinia	3	0.012875536480686695
g__Desulfovibrio_F	3	0.012875536480686695
g__Methanospirillum	3	0.012875536480686695
g__Methanotorris	2	0.008583690987124463
g__Clostridium	2	0.008583690987124463
g__Rhodopseudomonas	2	0.008583690987124463
g__Desulfatibacillum	2	0.008583690987124463
g__Rhodovulum	2	0.008583690987124463
g__UBA3076	2	0.008583690987124463
g__Desulfobacter	2	0.008583690987124463
g__Methanothermococcus	2	0.008583690987124463
g__Lebetimonas	2	0.008583690987124463
g__Hungatella	2	0.008583690987124463
g__Crocosphaera	2	0.008583690987124463
g__Methanolobus	2	0.008583690987124463
g__Pseudomonas_A	2	0.008583690987124463
g__Methanocaldococcus_A	2	0.008583690987124463
g__Labilibaculum	2	0.008583690987124463
g__Methanobacterium	2	0.008583690987124463
g__Chlorobium_A	2	0.008583690987124463
g__Pseudodesulfovibrio	2	0.008583690987124463
g__Geitlerinema	2	0.008583690987124463
g__MTP4	2	0.008583690987124463
g__Methanococcoides	2	0.008583690987124463
g__Afifella	2	0.008583690987124463
g__UBA9042	2	0.008583690987124463
g__Atelocyanobacterium	1	0.004291845493562232
g__CCP2	1	0.004291845493562232
g__NaphS2	1	0.004291845493562232
g__Marinibacterium	1	0.004291845493562232
g__SZUA-421	1	0.004291845493562232
g__Halodesulfovibrio	1	0.004291845493562232
g__Denitrovibrio	1	0.004291845493562232
g__Methanoculleus	1	0.004291845493562232
g__Desulfotomaculum_C	1	0.004291845493562232
g__SZUA-242	1	0.004291845493562232
g__Desulforhopalus	1	0.004291845493562232
g__Desulfobacterium_A	1	0.004291845493562232
g__Lyngbya	1	0.004291845493562232
g__Coleofasciculus	1	0.004291845493562232
g__LKUD01	1	0.004291845493562232
g__PCC-7375	1	0.004291845493562232
g__Desulfomicrobium	1	0.004291845493562232
g__SZUA-265	1	0.004291845493562232
g__Raoultella	1	0.004291845493562232
g__Roseospirillum	1	0.004291845493562232
g__SZUA-561	1	0.004291845493562232
g__Marinobacter	1	0.004291845493562232
g__SXNM01	1	0.004291845493562232
g__SZUA-448	1	0.004291845493562232
g__UBA10364	1	0.004291845493562232
g__Acuticoccus	1	0.004291845493562232
g__Rivularia	1	0.004291845493562232
g__Kyrpidia	1	0.004291845493562232
g__HGW-2	1	0.004291845493562232
g__Desulfurobacterium_A	1	0.004291845493562232
g__Acidihalobacter	1	0.004291845493562232
g__Azoarcus_A	1	0.004291845493562232
g__Thioflavicoccus	1	0.004291845493562232
g__Clostridium_AF	1	0.004291845493562232
g__Oceanotoga	1	0.004291845493562232
g__50-400-T64	1	0.004291845493562232
g__Geofilum	1	0.004291845493562232
g__Desulfoluna	1	0.004291845493562232
g__Agarivorans	1	0.004291845493562232
g__Xanthobacter	1	0.004291845493562232
