order	counts	fraction
o__Methanosarcinales	18	0.07725321888412018
o__Methanococcales	17	0.07296137339055794
o__Cyanobacteriales	14	0.060085836909871244
o__Desulfobacterales	11	0.04721030042918455
o__Desulfovibrionales	11	0.04721030042918455
o__Methanomicrobiales	11	0.04721030042918455
o__Rhizobiales	10	0.04291845493562232
o__Rhodobacterales	7	0.030042918454935622
o__Bacteroidales	7	0.030042918454935622
o__Enterobacterales	6	0.02575107296137339
o__Pseudomonadales	6	0.02575107296137339
o__Lachnospirales	6	0.02575107296137339
o__ANME-1	5	0.02145922746781116
o__Clostridiales	5	0.02145922746781116
o__Paenibacillales	5	0.02145922746781116
o__UBA9042	4	0.017167381974248927
o__Desulfobulbales	4	0.017167381974248927
o__Dissulfuribacterales	3	0.012875536480686695
o__Campylobacterales	3	0.012875536480686695
o__Peptostreptococcales	3	0.012875536480686695
o__Desulfuromonadales	3	0.012875536480686695
o__Methylococcales	3	0.012875536480686695
o__Chlorobiales	3	0.012875536480686695
o__Burkholderiales	2	0.008583690987124463
o__Syntrophoarchaeales	2	0.008583690987124463
o__Thermodesulfobacteriales	2	0.008583690987124463
o__Nautiliales	2	0.008583690987124463
o__PWKZ01	2	0.008583690987124463
o__Opitutales	2	0.008583690987124463
o__Desulfotomaculales	2	0.008583690987124463
o__Chromatiales	2	0.008583690987124463
o__Flavobacteriales	2	0.008583690987124463
o__Magnetococcales	2	0.008583690987124463
o__2-12-FULL-45-22	2	0.008583690987124463
o__Methanobacteriales	2	0.008583690987124463
o__Petrotogales	1	0.004291845493562232
o__Acetivibrionales	1	0.004291845493562232
o__SZUA-567	1	0.004291845493562232
o__Rhodospirillales	1	0.004291845493562232
o__Polyangiales	1	0.004291845493562232
o__Phormidesmiales	1	0.004291845493562232
o__SZUA-242	1	0.004291845493562232
o__Kiritimatiellales	1	0.004291845493562232
o__UBA3505	1	0.004291845493562232
o__Elainellales	1	0.004291845493562232
o__Desulfatiglandales	1	0.004291845493562232
o__Ectothiorhodospirales	1	0.004291845493562232
o__Deferribacterales	1	0.004291845493562232
o__Victivallales	1	0.004291845493562232
o__Methanopyrales	1	0.004291845493562232
o__Desulfurobacteriales	1	0.004291845493562232
o__Kyrpidiales	1	0.004291845493562232
o__SK-Y3	1	0.004291845493562232
o__UBA5335	1	0.004291845493562232
o__Thiohalomonadales_A	1	0.004291845493562232
o__Hydrothermarchaeales	1	0.004291845493562232
o__Sphingomonadales	1	0.004291845493562232
o__Nannocystales	1	0.004291845493562232
o__21-64-14	1	0.004291845493562232
o__Rhodospirillales_A	1	0.004291845493562232
o__Calderihabitantales	1	0.004291845493562232
o__UBA4802	1	0.004291845493562232
o__Spirochaetales	1	0.004291845493562232
o__Syntrophobacterales	1	0.004291845493562232
o__C00003060	1	0.004291845493562232
o__Caulobacterales	1	0.004291845493562232
o__SS1-B-03-39	1	0.004291845493562232
o__Fusobacteriales	1	0.004291845493562232
o__Treponematales	1	0.004291845493562232
o__Phycisphaerales	1	0.004291845493562232
o__Archaeoglobales	1	0.004291845493562232
o__UBA10353	1	0.004291845493562232
o__Thermoanaerobacterales	1	0.004291845493562232
o__Defferisomatales	1	0.004291845493562232
o__UBA6902	1	0.004291845493562232
o__Thiohalomonadales	1	0.004291845493562232
Unspecified	3	0.012875536480686695
