family	frequency
Unspecified	0.40384615384615385
f__Methylomonadaceae	0.15384615384615385
f__Vibrionaceae	0.15384615384615385
f__Microcystaceae	0.057692307692307696
f__Desulfovibrionaceae	0.038461538461538464
f__Acetivibrionaceae	0.019230769230769232
f__UBA3505	0.019230769230769232
f__Victivallaceae	0.019230769230769232
f__UBA5335	0.019230769230769232
f__Desulfurobacteriaceae	0.019230769230769232
f__Geitlerinemaceae	0.019230769230769232
f__Methanococcaceae	0.019230769230769232
f__Pelobacteraceae_A	0.019230769230769232
f__Cohaesibacteraceae	0.019230769230769232
f__Desulfobacteraceae	0.019230769230769232
