query_id	cluster_id	cluster_score	cluster_taxopath	taxopath
query_46	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_77	DISTANT	None	Unspecified	
query_120	cluster_IV	0.0	Unspecified	
query_162	DISTANT	None	Unspecified	
query_229	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_249	DISTANT	None	Unspecified	
query_293	DISTANT	None	Unspecified	
query_340	DISTANT	None	Unspecified	
query_411	DISTANT	None	Unspecified	
query_42	cluster_II	1.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__PWKZ01;f__;g__;s__
query_102	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_152	DISTANT	None	Unspecified	
query_190	cluster_III	1.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales
query_243	cluster_IV	0.0	Unspecified	d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_305	DISTANT	None	Unspecified	
query_359	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_B
query_422	DISTANT	None	Unspecified	
query_47	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Atelocyanobacterium;s__Atelocyanobacterium thalassa_A
query_94	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_117	DISTANT	None	Unspecified	
query_161	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_211	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_266	cluster_II	1.0	Unspecified	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium_A;s__Ruminiclostridium_A papyrosolvens
query_320	DISTANT	None	Unspecified	
query_376	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_425	DISTANT	None	Unspecified	
query_51	DISTANT	None	Unspecified	
query_101	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_158	cluster_II	1.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__PWKZ01;f__;g__;s__
query_221	DISTANT	None	Unspecified	
query_256	DISTANT	None	Unspecified	
query_311	DISTANT	None	Unspecified	
query_362	cluster_II	1.0	Unspecified	
query_392	DISTANT	None	Unspecified	
query_21	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_67	cluster_IV	0.0	Unspecified	
query_127	cluster_IV	0.0	Unspecified	d__Bacteria
query_184	cluster_II	1.0	Unspecified	
query_222	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Atelocyanobacterium;s__Atelocyanobacterium thalassa_A
query_255	cluster_IV	0.0	Unspecified	d__Bacteria
query_322	DISTANT	None	Unspecified	
query_364	DISTANT	None	Unspecified	
query_412	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_61	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042
query_116	DISTANT	None	Unspecified	
query_136	DISTANT	None	Unspecified	
query_174	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_218	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_283	DISTANT	None	Unspecified	
query_316	DISTANT	None	Unspecified	
query_368	DISTANT	None	Unspecified	
query_423	cluster_IV	0.0	Unspecified	
query_33	DISTANT	None	Unspecified	
query_92	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_137	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_183	DISTANT	None	Unspecified	
query_230	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_295	DISTANT	None	Unspecified	
query_339	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_389	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_11	cluster_IV	0.0	Unspecified	
query_55	DISTANT	None	Unspecified	
query_170	DISTANT	None	Unspecified	
query_238	DISTANT	None	Unspecified	
query_350	DISTANT	None	Unspecified	
query_384	cluster_IV	0.0	Unspecified	
query_140	DISTANT	None	Unspecified	
query_246	DISTANT	None	Unspecified	
query_273	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042
query_327	DISTANT	None	Unspecified	
query_386	DISTANT	None	Unspecified	
query_4	DISTANT	None	Unspecified	
query_23	cluster_III	1.0	Unspecified	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_H;s__Desulfovibrio_H frigidus
query_85	DISTANT	None	Unspecified	
query_156	cluster_IV	0.0	Unspecified	
query_203	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_237	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
