name	LWR	fract	aLWR	afract	taxopath
query_1	0.006373	0.7787	0.006373	0.7787	cluster_IV;d__Archaea;p__Halobacterota
query_225	0.001291	0.8056	0.001291	0.8056	DISTANT
query_464	0.001454	0.8677	0.001454	0.8677	DISTANT
query_489	0.0005454	1	0.0005454	1	DISTANT
query_599	0.001745	1	0.001745	1	DISTANT
query_768	0.001626	1	0.001626	1	DISTANT
query_871	0.0002691	1	0.0002691	1	DISTANT
query_1008	0.06091	0.6471	0.06091	0.6471	cluster_II;d__Bacteria;p__Myxococcota;c__UBA9042;o__PWKZ01;f__;g__;s__
query_1104	0.007641	0.5995	0.01275	1	cluster_IV
query_1196	0.3598	0.9153	0.3637	0.9253	cluster_IV;d__Archaea;p__Halobacterota
query_1450	0.003607	0.9236	0.003607	0.9236	cluster_IV
query_1571	0.001626	1	0.001626	1	DISTANT
query_1702	0.001157	0.8379	0.001157	0.8379	DISTANT
query_1759	0.001579	0.7369	0.001579	0.7369	DISTANT
query_1907	0.006242	0.9468	0.006242	0.9468	cluster_IV
query_2039	0.001416	0.8793	0.001416	0.8793	DISTANT
query_2179	0.001827	1	0.001827	1	DISTANT
query_2362	0.007453	1	0.007454	1	cluster_IV
query_2464	0.001415	0.8832	0.001415	0.8832	DISTANT
query_2542	0.001827	1	0.001827	1	DISTANT
query_2734	0.001626	0.5	0.003252	1	cluster_IV
query_2765	0.00181	0.7409	0.00181	0.7409	cluster_IV
query_2886	0.001618	1	0.001618	1	DISTANT
query_3168	0.001221	0.7545	0.001221	0.7545	DISTANT
query_3282	0.001791	0.7944	0.001791	0.7944	cluster_IV
query_3426	0.00159	0.992	0.00159	0.992	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
query_3587	0.001014	0.6328	0.001014	0.6328	DISTANT
query_3700	0.001634	1	0.001634	1	DISTANT
query_3788	0.001223	0.7631	0.001223	0.7631	DISTANT
query_3964	0.003943	0.809	0.003943	0.809	cluster_IV
query_4097	0.03171	0.6907	0.03171	0.6907	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_4275	0.001613	1	0.001613	1	DISTANT
query_4428	0.1071	0.7277	0.141	0.9575	cluster_IV
query_4537	0.01317	0.7093	0.01317	0.7093	cluster_IV;d__Archaea;p__Halobacterota
query_4668	0.0007916	0.9997	0.0007916	0.9997	DISTANT
query_4881	0.001304	0.372	0.001304	0.372	cluster_IV;d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_16	0.001673	1	0.001673	1	DISTANT
query_160	0.001377	1	0.001377	1	DISTANT
query_356	0.000908	0.8825	0.000908	0.8825	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
query_568	0.04075	0.793	0.04075	0.793	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_711	0.0009562	0.5967	0.0009562	0.5967	DISTANT
query_808	0.0009519	0.594	0.0009519	0.594	DISTANT
query_908	0.001522	0.4986	0.001522	0.4986	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp001627925
query_1066	0.002448	0.5664	0.004107	0.9501	cluster_IV
query_1164	0.0006393	1	0.0006393	1	DISTANT
query_1271	0.0114	0.5085	0.0114	0.5085	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_1388	0.04556	0.8176	0.04556	0.8176	cluster_IV
query_1502	0.0008274	0.513	0.0008274	0.513	DISTANT
query_1574	0.001221	0.7545	0.001221	0.7545	DISTANT
query_1721	0.1785	0.9223	0.1935	1	cluster_IV
query_1805	0.01156	0.4512	0.01156	0.4512	cluster_IV;d__Archaea;p__Halobacterota
query_1906	0.002614	0.7801	0.002614	0.7801	cluster_IV
query_1989	0.001631	1	0.001631	1	DISTANT
query_2094	0.0006108	0.6159	0.0006108	0.6159	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
query_2273	0.002662	0.8407	0.002662	0.8407	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_2359	0.001236	0.7567	0.001236	0.7568	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
query_2549	0.005664	0.9998	0.005664	0.9998	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__LFER01;s__
query_2742	0.001922	0.9102	0.001922	0.9102	cluster_IV
query_2859	0.1085	0.4116	0.1222	0.4638	cluster_IV;d__Archaea;p__Halobacterota
query_3151	0.001157	0.8379	0.001157	0.8379	DISTANT
query_3298	0.004242	1	0.004242	1	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_3408	0.001618	1	0.001618	1	DISTANT
query_3592	0.001157	0.8379	0.001157	0.8379	DISTANT
query_3704	0.001704	1	0.001704	1	DISTANT
query_3874	0.008485	0.7812	0.01086	1	cluster_IV
query_3980	0.001825	0.7663	0.001825	0.7663	cluster_IV
query_4118	0.001061	0.6433	0.001061	0.6433	cluster_IV;d__Bacteria;p__Myxococcota;c__UBA9042
query_4251	0.001024	0.5816	0.001024	0.5816	DISTANT
query_4362	0.01156	0.4512	0.01156	0.4512	cluster_IV;d__Archaea;p__Halobacterota
query_4538	0.263	0.6781	0.263	0.6781	cluster_IV;d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_4696	0.0006575	0.3789	0.001315	0.7579	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
query_4786	0.008633	0.5947	0.01452	1	cluster_IV
query_4900	0.001656	1	0.001656	1	DISTANT
query_69	0.001827	1	0.001827	1	DISTANT
query_185	0.02061	0.4739	0.02061	0.4739	cluster_IV;d__Archaea;p__Halobacterota
query_297	0.0008844	0.5519	0.0008844	0.5519	DISTANT
query_427	0.000922	0.5718	0.000922	0.5718	cluster_III;d__Bacteria
query_571	0.007098	0.4502	0.007098	0.4502	cluster_IV;d__Bacteria;p__Nitrospinota;c__2-12-FULL-45-22;o__2-12-FULL-45-22;f__;g__;s__
query_697	0.001827	1	0.001827	1	DISTANT
query_809	0.001482	0.9248	0.001482	0.9248	DISTANT
query_884	0.001613	1	0.001613	1	DISTANT
query_1050	0.004538	1	0.004538	1	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_1251	0.001615	0.9999	0.001615	0.9999	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
query_1332	0.05576	0.7441	0.05576	0.7441	cluster_IV;d__Bacteria;p__Myxococcota;c__UBA9042
query_1433	0.005988	0.9998	0.005988	0.9998	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__LFER01;s__
query_1594	0.001827	1	0.001827	1	DISTANT
query_1800	0.008986	0.5027	0.01787	1	cluster_IV
query_2003	0.0008844	0.5519	0.0008844	0.5519	DISTANT
query_2216	0.007649	0.7044	0.007649	0.7044	cluster_IV;d__Archaea;p__Halobacterota
query_2347	0.001372	0.833	0.001372	0.833	cluster_III;d__Bacteria
