id	cluster
ureC_102	urec
ureC_281	urec
ureC_443	urec
ureC_252	urec
ureC_550	urec
ureC_70	urec
ureC_277	urec
ureC_447	urec
ureC_147	urec
ko04_2	urec
ko04_4	urec
ureC_261	urec
ureC_187	urec
ureC_110	urec
ureC_612	urec
ureC_690	urec
ureC_509	urec
ureC_206	urec
ureC_482	urec
ureC_556	urec
ureC_246	urec
ureC_289	urec
ureC_427	urec
ureC_272	urec
ureC_167	urec
ureC_378	urec
ureC_467	urec
ureC_515	urec
ureC_542	urec
ureC_40	urec
ureC_555	urec
ureC_217	urec
ureC_603	urec
ureC_789	urec
ureC_623	urec
ureC_324	urec
ureC_7	urec
ureC_97	urec
ureC_156	urec
ureC_575	urec
ureC_270	urec
ureC_417	urec
ureC_229	urec
ureC_722	urec
ureC_473	urec
ureC_56	urec
ureC_216	urec
ureC_732	urec
ureC_239	urec
ureC_375	urec
ureC_149	urec
ureC_530	urec
ureC_395	urec
ureC_180	urec
ureC_553	urec
ureC_405	urec
ureC_339	urec
ureC_502	urec
ureC_14	urec
ureC_169	urec
ureC_174	urec
ureC_774	urec
ureC_491	urec
ureC_264	urec
ureC_544	urec
ureC_316	urec
ureC_101	urec
ureC_620	urec
ureC_562	urec
ureC_534	urec
ureC_383	urec
ureC_464	urec
ureC_204	urec
ureC_41	urec
ureC_380	urec
ureC_589	urec
ureC_660	urec
ureC_276	urec
ureC_4	urec
ureC_712	urec
ureC_760	urec
ureC_689	urec
ureC_696	urec
ureC_28	urec
ureC_709	urec
ureC_462	urec
ureC_784	urec
ureC_333	urec
ureC_654	urec
ureC_465	urec
ureC_191	urec
ureC_27	urec
ureC_759	urec
ureC_235	urec
ureC_194	urec
ureC_747	urec
ureC_606	urec
ureC_448	urec
ureC_365	urec
ureC_262	urec
ureC_573	urec
ureC_215	urec
ureC_776	urec
ureC_238	urec
ureC_585	urec
ureC_79	urec
ureC_348	urec
ureC_404	urec
ureC_522	urec
ureC_672	urec
ureC_58	urec
ureC_684	urec
ureC_21	urec
ureC_715	urec
ureC_468	urec
ureC_474	urec
ureC_279	urec
ureC_390	urec
ureC_8	urec
ureC_346	urec
ureC_347	urec
ureC_456	urec
ureC_1	urec
ureC_740	urec
ureC_48	urec
ureC_676	urec
ureC_249	urec
ureC_188	urec
ko04_5	urec
ko04_1	urec
ureC_336	urec
ureC_370	urec
ureC_49	urec
ureC_176	urec
ureC_461	urec
ureC_711	urec
ureC_408	urec
ureC_358	urec
ureC_111	urec
ureC_457	urec
ureC_391	urec
ureC_23	urec
ureC_778	urec
ureC_605	urec
ureC_665	urec
ureC_254	urec
ureC_332	urec
ureC_172	urec
ureC_628	urec
ureC_71	urec
ureC_114	urec
ureC_166	urec
ureC_325	urec
ureC_68	urec
ureC_688	urec
ureC_151	urec
ureC_565	urec
ureC_786	urec
ureC_745	urec
ureC_738	urec
ureC_490	urec
ureC_730	urec
ureC_184	urec
ureC_271	urec
ureC_721	urec
ureC_30	urec
ureC_699	urec
ureC_547	urec
ureC_208	urec
ureC_268	urec
ureC_334	urec
ureC_214	urec
ureC_670	urec
ureC_234	urec
ureC_108	urec
ureC_244	urec
ureC_762	urec
ureC_481	urec
ureC_773	urec
ko04_20	urec
ureC_368	urec
ureC_735	urec
ureC_458	urec
ureC_140	urec
ureC_96	urec
ureC_743	urec
ureC_638	urec
ureC_353	urec
ureC_318	urec
ureC_307	urec
ureC_442	urec
ureC_356	urec
ureC_652	urec
ureC_647	urec
ureC_351	urec
ureC_584	urec
ureC_393	urec
ureC_200	urec
ureC_701	urec
ureC_352	urec
ureC_236	urec
ureC_710	urec
ureC_429	urec
ureC_614	urec
ureC_369	urec
ureC_285	urec
ureC_80	urec
ureC_755	urec
ureC_192	urec
ureC_695	urec
ureC_698	urec
ureC_595	urec
ureC_692	urec
ureC_199	urec
ureC_135	urec
ureC_639	urec
ureC_372	urec
ureC_674	urec
ureC_35	urec
ureC_259	urec
ureC_540	urec
