_time:creation_date	_time:curator	_time:implementation_date	_time:release_version	_time:update_date	acc:assembly_genbank	acc:bacdive	acc:bioproject	acc:biosample	acc:genbank	annotation:date	annotation:features	annotation:provider	annotation:sw_name	annotation:sw_release	asmbl:sequences	asmbl:sw_name	asmbl:sw_release	bin:sw_name	bin:sw_release	gen:cds	gen:complete_rrnas	gen:completeness	gen:contamination	gen:contigs	gen:frameshifted_genes	gen:gc_content	gen:genes	gen:length	gen:n50	gen:ncrna	gen:num_replicons	gen:partial_rrnas	gen:plasmids	gen:pseudo_genes	gen:qs	gen:rrnas	gen:strain_heterogeneity	gen:total_trnas	gen:unique_trnas	host:age	host:disease	host:health_stage	host:other_clinical	host:pathogenicity	host:sample_site	host:sample_subsite	host:sex	host:species	host:synonym	id	isol:alt_elev	isol:analysis_project_type	isol:collected_by	isol:collection_date	isol:country	isol:culture_collection	isol:depth	isol:env_biome	isol:env_feature	isol:env_material	isol:env_package	isol:env_salinity	isol:env_temp	isol:growth_condt	isol:investigation_type	isol:isolation_comments	isol:isolation_source	isol:lat_lon	isol:location	isol:project_name	isol:ref_biomaterial	isol:sample_type	isol:world_region	map:sw_name	map:sw_release	pheno:biovar	pheno:cell_shape	pheno:gram_stain	pheno:halotolerance	pheno:motility	pheno:optimal_temp	pheno:other_typing	pheno:oxygen_requirement	pheno:pathovar	pheno:serovar	pheno:sporulation	pheno:temp_range	pheno:type_strain	proj:comments	proj:genome_status	proj:publication	proj:silva_accession_LSU	proj:silva_accession_SSU	proj:uniprot_proteome_id	quality:sw_name	quality:sw_release	secmet:antismash_clusters	secmet:antismash_types	secmet:sw_name	secmet:sw_release	seq:center	seq:depth	seq:method	tax:class	tax:family	tax:fastani_ani	tax:fastani_ref	tax:genus	tax:gtdb_classification	tax:kingdom	tax:order	tax:organism	tax:phylum	tax:species	tax:strain	tax:sw_name	tax:sw_release
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_904848165.1	bacdive:8188	bioproject:PRJEB40380	biosample:SAMEA7339714	ena.embl:LR884459						resource_sequence:GCA_904848165.1									1		44.828243		3696886			1		0																	mmp.ref:MMP7339714		Whole genome sequencing (WGS)		2002-06<§eco:0007758>pubmed:15388738		KMM:3659<§eco:0007758>pubmed:15388738|DSM:15389<§eco:0007758>pubmed:15388738		Marine benthic biome§envo:01000024<§eco:0007758>pubmed:15388738	Bay§envo:00000032<§eco:0000205>Isolation location	Sand§envo:01000017<§eco:0007758>pubmed:15388738	Sediment				Bacteria_Archaea	S1	Bottom sediments, Sea of Japan		Peter the Great Gulf§GAZ:00007659<§eco:0007758>pubmed:15388738			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Peter the Great Gulf§gaz:00007659				Oval<§eco:0007758>pubmed:15388738	Negative<§eco:0007758>pubmed:15388738		No<§eco:0007758>pubmed:15388738	26.5<§eco:0007758>pubmed:15388738		Aerobic<§eco:0007758>pubmed:15388738			No<§eco:0007758>pubmed:15388738	Psychrotolerant<§eco:0007758>pubmed:15388738	Yes<§eco:0007758>pubmed:15388738	We measured growth under 24 different conditions for 85 accessions of Psychrobacter in tandem with whole genome sequencing and animal studies. We conducted comparative (phylo)genomics for these 85 Psychrobacter strains, as well as family-level comparative phylo-genomics. Our results indicate that growth at 37C is likely ancestral for the genus and is likely necessary for growth within mammalian bodies. Furthermore, Psychrobacter's closest relatives are pathobionts, and Psychrobacter likely evolved from a pathobiont ancestor.	Finished	pubmed:15388738										Max Planck Institute for Developmental Biology	135		Gammaproteobacteria§taxonomy:1236<§eco:0000313>Psychrobacter arenosus§taxonomy:256326	Moraxellaceae§taxonomy:468<§eco:0000313>Psychrobacter arenosus§taxonomy:256326			Psychrobacter§taxonomy:497<§eco:0000313>Psychrobacter arenosus§taxonomy:256326			Moraxellales§taxonomy:2887326<§eco:0000313>Psychrobacter arenosus§taxonomy:256326	Psychrobacter arenosus§taxonomy:256326	Proteobacteria§taxonomy:1224<§eco:0000313>Psychrobacter arenosus§taxonomy:256326	Psychrobacter arenosus§taxonomy:256326<§eco:0000313>Psychrobacter arenosus§taxonomy:256326	R7		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_903995135.1		bioproject:PRJEB37533	biosample:SAMEA7131196	ena.embl:LR877185						resource_sequence:GCA_903995135.1	biotools:SPAdes<§eco:0007758>pubmed:32769182	v. 3.1.1<§eco:0007758>pubmed:32769182							1		39.930847		4099791			1		0																	mmp.ref:MMP7131196		Whole genome sequencing (WGS)		2000-06<§eco:0007758>pubmed:14650085	France§gaz:00002940<§eco:0000313>Golfe du Morbihan§gaz:00044334		1	Marine biome§envo:00000447<§eco:0000205>Isolation source	Harbor§envo:00000463<§eco:0000205>Isolation location|Marine photic zone§envo:00000209<§eco:0000205>Depth	Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		Water	gmap:47.577,-2.745<§eco:0007759>ENA BioSample accession	Golfe du Morbihan§GAZ:00044334<§eco:0007758>pubmed:25331987			Monoisolate	Atlantic Ocean region§gaz:00051071<§eco:0000313>Golfe du Morbihan§gaz:00044334								20<§eco:0007758>pubmed:25331987								The aim was to identify and study the antibiofilm protein secreted by the marine bacterium Pseudoalteromonas sp. 3J6. The latter is active against marine and terrestrial bacteria, including Pseudomonas aeruginosa clinical strains forming different biofilm types.	Finished	pubmed:25331987|pubmed:32769182|pubmed:14650085			UP000516343							IFREMER	332	Illumina MiSeq Platform§rrid:SCR_016379<§eco:0007759>ENA BioSample accession	Gammaproteobacteria§taxonomy:1236<§eco:0000313>Pseudoalteromonas sp. 3J6§taxonomy:649161	Pseudoalteromonadaceae§taxonomy:267888<§eco:0000313>Pseudoalteromonas sp. 3J6§taxonomy:649161			Pseudoalteromonas§taxonomy:53246<§eco:0000313>Pseudoalteromonas sp. 3J6§taxonomy:649161			Alteromonadales§taxonomy:135622<§eco:0000313>Pseudoalteromonas sp. 3J6§taxonomy:649161	Pseudoalteromonas sp. 3J6§taxonomy:649161	Proteobacteria§taxonomy:1224<§eco:0000313>Pseudoalteromonas sp. 3J6§taxonomy:649161	Pseudoalteromonas sp. 3J6§taxonomy:649161<§eco:0000313>Pseudoalteromonas sp. 3J6§taxonomy:649161	3J6		
2020-05-29		2022-10-13	1.6	2022-11-07	insdc.gca:GCA_900682675.1		bioproject:PRJEB29984	biosample:SAMEA5137566	ena.embl:LR215729	2020-06-06	Gene|CDS|rRNA|tRNA|ncRNA|repeat_regio	NCBI RefSeq§https://www.ncbi.nlm.nih.gov/refseq/	Best-placed reference protein set; GeneMarkS-2+	4.11	resource_sequence:GCA_900682675.1						6, 5, 5	99.84	2.35	1	48	57.3	4415	4814646	4814646		1	0, 0, 0		76	88.09	6, 5, 5	61.11	73	23											mmp.ref:MMP5137566			Genoscope CEA												Bacteria_Archaea				Pacific Ocean§gaz:00000360				Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360																isolated from Pacific ocean, cultured by 2216L, optimal temperature 35	Finished		29984	29984		biotools:CheckM	1.0.13	Lipopolysaccharide (36%), APE_Vf (40%), O-antigen (14%), Lipopolysaccharide (5%)	Bacteriocin or Other cluster RiPP cluster|Putative cluster|Putative cluster|Putative cluster|Putative Saccharide cluster|Aryl polyene cluster|Bacteriocin or Other cluster RiPP cluster|Putative cluster|Bacteriocin or Other cluster RiPP cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative fatty acid cluster|Putative cluster|Putative cluster|Putative Saccharide cluster|Putative fatty acid cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative fatty acid cluster|Putative cluster			Genoscope CEA			Gammaproteobacteria§taxonomy:1236<§eco:0000313>Pseudomonas marincola§taxonomy:437900	Pseudomonadaceae§taxonomy:135621<§eco:0000313>Pseudomonas marincola§taxonomy:437900	97.54	gtdb:GCF_900116605.1	Pseudomonas§taxonomy:286<§eco:0000313>Pseudomonas marincola§taxonomy:437900	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas_E|Pseudomonas_E		Pseudomonadales§taxonomy:72274<§eco:0000313>Pseudomonas marincola§taxonomy:437900	Pseudomonas marincola§taxonomy:437900	Proteobacteria§taxonomy:1224<§eco:0000313>Pseudomonas marincola§taxonomy:437900	Pseudomonas marincola§taxonomy:437900<§eco:0000313>Pseudomonas marincola§taxonomy:437900	YSy11		
2020-05-26		2022-10-13	1.6	2022-11-07	insdc.gca:GCA_900654235.1		bioproject:PRJEB28726	biosample:SAMEA5065789	ena.embl:LR136958|ena.embl:LR136959	2020-06-01	Gene|CDS|rRNA|tRNA|ncRNA|repeat_regio	NCBI RefSeq§https://www.ncbi.nlm.nih.gov/refseq/	Best-placed reference protein set; GeneMarkS-2+	4.11	resource_sequence:GCA_900654235.1						5, 5, 5	99.95	0.28	2	6	43.42	4114	4857090	4731105		1	0, 0, 0	1	23	98.55	5, 5, 5	0	65	23						PS79/0297					mmp.ref:MMP5065789			Institute for Chemistry and Biology of the Marine Environment	2012-04-12			20	Ocean biome§envo:01000048	Continental margin§envo:01000298	Sea water§envo:00002149	Water	33.4916			Bacteria_Archaea	isolated from a microcosm with alginate-enriched seawater at the Patagonian continental shelf, to degrade the algal polysaccharides alginate and ulvan	microcosm with alginate-enriched seawater at the Patagonian continental shelf, to degrade the algal polysaccharides alginate and ulvan	gmap:-47.94472,-61.92306	Southwest Atlantic Ocean§gaz:00051082				Atlantic Ocean region§gaz:00051071<§eco:0000313>Southwest Atlantic Ocean§gaz:00051082																This study describes the profound potential of Alteromonas sp. 76-1, which was isolated from a microcosm with alginate-enriched seawater at the Patagonian continental shelf, to degrade the algal polysaccharides alginate and ulvan.	Finished		28726	28726		biotools:CheckM	1.0.13	O-antigen (20%), Polysaccharide (17%)	Putative Saccharide cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative Saccharide cluster|Putative fatty acid cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative fatty acid cluster|Bacteriocin or Other cluster RiPP cluster|Putative cluster|Putative Saccharide cluster|Putative cluster|Putative fatty acid cluster|Nonribosomal peptide synthetase cluster - Type I PKS cluster - Siderophore cluster|Putative Saccharide cluster			Institute for Chemistry and Biology of the Marine Environment			Gammaproteobacteria§taxonomy:1236<§eco:0000313>Alteromonas sp. 76-1§taxonomy:2358187	Alteromonadaceae§taxonomy:72275<§eco:0000313>Alteromonas sp. 76-1§taxonomy:2358187	95.95	gtdb:GCF_000213655.1	Alteromonas§taxonomy:226<§eco:0000313>Alteromonas sp. 76-1§taxonomy:2358187	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Alteromonadaceae|Alteromonas|Alteromonas		Alteromonadales§taxonomy:135622<§eco:0000313>Alteromonas sp. 76-1§taxonomy:2358187	Alteromonas sp. 76-1§taxonomy:2358187	Proteobacteria§taxonomy:1224<§eco:0000313>Alteromonas sp. 76-1§taxonomy:2358187	Alteromonas sp. 76-1§taxonomy:2358187<§eco:0000313>Alteromonas sp. 76-1§taxonomy:2358187	76-1		
2022-10-13		2019-10-14	1.6	2022-11-07	insdc.gca:GCA_900574125.1		bioproject:PRJEB28620	biosample:SAMEA4921595	ena.embl:LR027553|ena.embl:LR027554|ena.embl:LR027555|ena.embl:LR027556	2018-12-26	Gene|CDS|rRNA|tRNA|ncRNA	NCBI RefSeq§https://www.ncbi.nlm.nih.gov/refseq/	Best-placed reference protein	4.7	resource_sequence:GCA_900574125.1						5, 5, 5	99.65	0.35	4	33	59.07	4498	4712067	3183848		2	0, 0, 0	2	93	97.9	5, 5, 5	0	63	23											mmp.ref:MMP4921595		Whole genome sequencing (WGS)	Philippe Catala	2004-12				Marginal sea biome§envo:01000046	Sea coast§envo:00000303	Sea water§envo:00002149	Water				Bacteria_Archaea		sea water	gmap:-34.62,-72.45	Pacific Ocean§gaz:00000360			Cell culture	Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360																Epibacterium mobilis mobile BBCC367 is a marine bacterium that is common in coastal areas. It belongs to the Roseobacter clade, a widespread group in pelagic marine ecosystems. Species of the Roseobacter clade are regularly used as models to understand th	Finished		28620	28620		biotools:CheckM	1.0.13	Exopolysaccharide (8%), Lipopolysaccharide (5%),  Sch47555 (3%), Ectoine (100%), Gellan polysaccharide (15%), Vicibactin (33%)	Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Homoserine lactone cluster|Putative fatty acid cluster|Putative cluster|Putative fatty acid cluster|Putative cluster|Putative fatty acid cluster|Homoserine lactone cluster - Putative fatty acid cluster|Putative cluster|Putative fatty acid cluster|Ectoine cluster - Putative Saccharide cluster|Type I PKS cluster - Putative Saccharide cluster|Putative cluster|Putative fatty acid cluster|Putative cluster|Putative cluster|Putative cluster|Nonribosomal peptide synthetase cluster|Putative cluster|Bacteriocin or Other cluster RiPP cluster|Putative cluster|Putative cluster|Putative cluster			Leibniz Institute For Baltic Sea Research	256		Alphaproteobacteria§taxonomy:28211<§eco:0000313>Tritonibacter mobilis§taxonomy:379347	Rhodobacteraceae§taxonomy:31989<§eco:0000313>Tritonibacter mobilis§taxonomy:379347	96.66	gtdb:GCF_001681715.1	Tritonibacter§taxonomy:2083206<§eco:0000313>Tritonibacter mobilis§taxonomy:379347	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Tritonibacter|Tritonibacter mobile		Rhodobacterales§taxonomy:204455<§eco:0000313>Tritonibacter mobilis§taxonomy:379347	Tritonibacter mobilis§taxonomy:379347	Proteobacteria§taxonomy:1224<§eco:0000313>Tritonibacter mobilis§taxonomy:379347	Tritonibacter mobilis§taxonomy:379347<§eco:0000313>Tritonibacter mobilis§taxonomy:379347	EPIB1		
2022-10-13		2019-10-14	1.6	2022-11-07	insdc.gca:GCA_900538275.1		bioproject:PRJEB28585	biosample:SAMEA4890528	ena.embl:LR130778	2018-12-10	Gene|CDS|rRNA|tRNA|ncRNA	NCBI RefSeq§https://www.ncbi.nlm.nih.gov/refseq/	Best-placed reference protein	4.7	resource_sequence:GCA_900538275.1						5, 5, 5	98.66	2.57	1	43	37.27	3229	3518882	3518882		1	0, 0, 0		59	85.81	5, 5, 5	0	56	22											mmp.ref:MMP4890528		Whole genome sequencing (WGS)	MIO							Sediment§envo:00002007	Sediment				Bacteria_Archaea	isolated at 0.1 MPa, while isolation of a novel anaerobic bacterium was made possible at 14 MPa from core sample M0070C-3R1 (-1150 mbsf)	core sample M0070C-3R1 (-1150 mbsf)	gmap:30.1424,-42.13657	Atlantic Ocean§gaz:00000344		pubmed:31379757	Cell culture	Atlantic Ocean region§gaz:00051071<§eco:0000313>Atlantic Ocean§gaz:00000344																Rock-hosted deep subseafloor ecosystems are very challenging for life and current knowledge about microorganisms inhabiting such lithic environments is still limited. This study explored cultivable microbial diversity in various anaerobic enrichment cultu	Finished	pubmed:31379757	28585	28585		biotools:CheckM	1.0.13	Polysaccharide B (6%), Molybdenum cofactor (11%), R1128 (14%)	Putative cluster|Putative Saccharide cluster|Putative Saccharide cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative cluster|Putative fatty acid cluster|Bacteriocin or Other cluster RiPP cluster|Putative cluster|Sactipeptide cluster|Putative cluster			MIO	151		Clostridia§taxonomy:186801<§eco:0000313>Petrocella atlantisensis§taxonomy:2173034	Vallitaleaceae§taxonomy:2603322<§eco:0000313>Petrocella atlantisensis§taxonomy:2173034			Petrocella§taxonomy:2603323<§eco:0000313>Petrocella atlantisensis§taxonomy:2173034	Bacteria|Firmicutes_A|Clostridia|Lachnospirales|Vallitaleaceae|HGW-2		Eubacteriales§taxonomy:186802<§eco:0000313>Petrocella atlantisensis§taxonomy:2173034	Petrocella atlantisensis§taxonomy:2173034	Firmicutes§taxonomy:1239<§eco:0000313>Petrocella atlantisensis§taxonomy:2173034	Petrocella atlantisensis§taxonomy:2173034<§eco:0000313>Petrocella atlantisensis§taxonomy:2173034	70B-A		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_900537175.1		bioproject:PRJEB28331	biosample:SAMEA4873267	ena.embl:LS999833|ena.embl:LS999834|ena.embl:LS999835|ena.embl:LS999836						resource_sequence:GCA_900537175.1	SeqMan NGen§biotools:seqman_ngen								4		44.32403		3910419			4		0															Spongia sp.<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf		mmp.ref:MMP4873267		Whole genome sequencing (WGS)	Elham Karimi	2015-04-30	Portugal§gaz:00002944<§eco:0000313>Faro District§gaz:00004145		20<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	Ocean biome§envo:01000048<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	Coast§envo:01000687<§eco:0000205>Geographic coordinates|Marine photic zone§envo:00000209<§eco:0000205>Depth	Animal-associated environment§envo:01001002<§eco:0000205>Host synonym	Host-associated				Mimarks-survey		In this study, we isolate and report the draft genome sequences of 14 bacterial strains from the marine sponge Spongia sp. using R2A and VXA media.<§eco:0000312>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	gmap:36.9798,-7.9889	Faro§GAZ:00004145<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	Genome of bacteria isolated from Sponge on R2A and VXA media.		Monoisolate	Europe§gaz:00000464<§eco:0000313>Faro District§gaz:00004145																Investigating sponge microbial symbionts is an important part of marine microbial ecology due to the ecological and biotechnological value of these dense and diverse microbial communities. Sponge-associated bacteria are involved in nutritional exchange with their hosts and are considered to play important roles in benthic biogeochemical cycling, and producing most of the secondary metabolite repertoire of sponges. Therefore, our understanding of the contribution of cultivable sponge-associated bacteria can provide better prespectives through this subject. This is a reason why we here describe 15 isolated bacteria genomes retrieved from Spongia sp., an iconic sponge species using 1/10R2A and VXA media.	Finished	§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf										Station Biologique de Roscoff (CNRS - Sorbonne University)	198	Illumina MiSeq Platform§rrid:SCR_016379<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	Alphaproteobacteria§taxonomy:28211<§eco:0000313>Lentilitoribacter sp. Alg239-R112§taxonomy:2305987	Phyllobacteriaceae§taxonomy:69277<§eco:0000313>Lentilitoribacter sp. Alg239-R112§taxonomy:2305987			Lentilitoribacter§taxonomy:1649463<§eco:0000313>Lentilitoribacter sp. Alg239-R112§taxonomy:2305987			Hyphomicrobiales§taxonomy:356<§eco:0000313>Lentilitoribacter sp. Alg239-R112§taxonomy:2305987	Lentilitoribacter sp. Alg239-R112§taxonomy:2305987	Proteobacteria§taxonomy:1224<§eco:0000313>Lentilitoribacter sp. Alg239-R112§taxonomy:2305987	Lentilitoribacter sp. Alg239-R112§taxonomy:2305987<§eco:0000313>Lentilitoribacter sp. Alg239-R112§taxonomy:2305987	Alg239-R112		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_900537185.1		bioproject:PRJEB28331	biosample:SAMEA4873265	ena.embl:LS999826|ena.embl:LS999827|ena.embl:LS999828|ena.embl:LS999829|ena.embl:LS999830|ena.embl:LS999831|ena.embl:LS999832						resource_sequence:GCA_900537185.1	SeqMan NGen§biotools:seqman_ngen								7		38.789833		5305581			7		3															Spongia sp.<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf		mmp.ref:MMP4873265		Whole genome sequencing (WGS)	Elham Karimi	2015-04-30	Portugal§gaz:00002944<§eco:0000313>Faro District§gaz:00004145		20<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	Ocean biome§envo:01000048<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	Coast§envo:01000687<§eco:0000205>Geographic coordinates|Marine photic zone§envo:00000209<§eco:0000205>Depth	Animal-associated environment§envo:01001002<§eco:0000205>Host synonym	Host-associated				Mimarks-survey		In this study, we isolate and report the draft genome sequences of 14 bacterial strains from the marine sponge Spongia sp. using R2A and VXA media.<§eco:0000312>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	gmap:36.9798,-7.9889	Faro§GAZ:00004145<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	Genome of bacteria isolated from Sponge on R2A and VXA media.		Monoisolate	Europe§gaz:00000464<§eco:0000313>Faro District§gaz:00004145																Investigating sponge microbial symbionts is an important part of marine microbial ecology due to the ecological and biotechnological value of these dense and diverse microbial communities. Sponge-associated bacteria are involved in nutritional exchange with their hosts and are considered to play important roles in benthic biogeochemical cycling, and producing most of the secondary metabolite repertoire of sponges. Therefore, our understanding of the contribution of cultivable sponge-associated bacteria can provide better prespectives through this subject. This is a reason why we here describe 14 isolated bacteria genomes retrieved from Spongia sp., an iconic sponge species using 1/10R2A and VXA media. Preprint in: bioRxiv 2020.03.20.000216; doi: https://doi.org/10.1101/2020.03.20.000216	Finished	§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf										Station Biologique de Roscoff (CNRS - Sorbonne University)	162	Illumina MiSeq Platform§rrid:SCR_016379<§eco:0007758>§https://www.biorxiv.org/content/10.1101/2020.03.20.000216v1.full.pdf	Cytophagia§taxonomy:768503<§eco:0000313>Cytophagales bacterium Alg240-R148§taxonomy:2305985							Cytophagales§taxonomy:768507<§eco:0000313>Cytophagales bacterium Alg240-R148§taxonomy:2305985	Cytophagales bacterium Alg240-R148§taxonomy:2305985	Bacteroidetes§taxonomy:976<§eco:0000313>Cytophagales bacterium Alg240-R148§taxonomy:2305985	Cytophagales bacterium Alg240-R148§taxonomy:2305985<§eco:0000313>Cytophagales bacterium Alg240-R148§taxonomy:2305985	Alg240-R148		
2022-10-13		2019-10-14	1.6	2022-11-07	insdc.gca:GCA_900637885.1	bacdive:2132	bioproject:PRJEB6403	biosample:SAMEA48403168	ena.embl:LR134471	2018-12-27	Gene|CDS|rRNA|tRNA|ncRNA	NCBI RefSeq§https://www.ncbi.nlm.nih.gov/refseq/	Best-placed reference protein	4.7	resource_sequence:GCA_900637885.1						3, 3, 3	98.78	0.37	1	23	28.2	1530	1465207	1465207		1	0, 0, 0		42	96.93	3, 3, 3	0	46	24											mmp.ref:MMP48403168		Whole genome sequencing (WGS)	SC	2004	UK§gaz:00002637<§eco:0000313>Black Isle§gaz:00145699	NCTC:12927|DSM:17739|CCUG:48653|CIP:108590				Animal-associated environment§envo:01001002				pubmed:15545485	Bacteria_Archaea		Marine mammal (common seals, Phoca vitulina or  harbour porpoise,Phocoena phocoena)		Black Isle§gaz:00145699		pubmed:15545485	Cell culture	Europe§gaz:00000464<§eco:0000313>Black Isle§gaz:00145699																§http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/	Finished		6403	6403		biotools:CheckM	1.0.13	Lipo-oligosaccharide (60%), Xantholipin (4%)	Putative fatty acid cluster|Putative cluster|Putative cluster|Putative Saccharide cluster|Putative fatty acid cluster			SC	100		Epsilonproteobacteria§taxonomy:29547<§eco:0000313>Campylobacter insulaenigrae§taxonomy:260714	Campylobacteraceae§taxonomy:72294<§eco:0000313>Campylobacter insulaenigrae§taxonomy:260714	100	gtdb:GCF_000816185.1	Campylobacter§taxonomy:194<§eco:0000313>Campylobacter insulaenigrae§taxonomy:260714	Bacteria|Campylobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter_D|Campylobacter_D insulaenigrae		Campylobacterales§taxonomy:213849<§eco:0000313>Campylobacter insulaenigrae§taxonomy:260714	Campylobacter insulaenigrae§taxonomy:260714	Proteobacteria§taxonomy:1224<§eco:0000313>Campylobacter insulaenigrae§taxonomy:260714	Campylobacter insulaenigrae§taxonomy:260714<§eco:0000313>Campylobacter insulaenigrae§taxonomy:260714	NCTC:12927		
2018-01-30		2022-10-13	1.6	2022-11-07	insdc.gca:GCA_900119795.1	bacdive:5651	bioproject:PRJEB17743	biosample:SAMEA4548139	ena.embl:LT634361	2017-11-22	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	NCBI§https://www.ncbi.nlm.nih.gov/	NCBI Prokaryotic Genome Annotation Pipeline	4.3	resource_sequence:GCA_900119795.1					2993	6, 6, 6	99.22	0.34	1	21	32.01	3071	3435971	3435971	3	1	0, 0, 0		53	97.52	6, 6, 6	0	57	22			Diseased	Host_health_state:diseased					Pagrus major		mmp.ref:MMP4548139		Whole genome sequencing (WGS)	H. WAKABAYASHI	1977-07-01	Japan§gaz:00002747<§eco:0000313>Hiroshima Prefecture§gaz:00003784	NCIMB:2154|ATCC:43398|IAM:14317|IFO:15946|NBRC:15946		Marginal sea biome§envo:01000046	Fish farm§envo:00000294	Animal-associated environment§envo:01001002	Host-associated			§Http://www.microbiologyresearch.org/docserver/fulltext/ijsem/36/3/ijs-36-3-396.pdf?expires=1523695202&id=id&accname=guest&checksum=E4D047EE40130E095B1F0046D911A28B	Bacteria_Archaea	Named Flexibacter maritimus R2.Isolated in 1977 from a diseasedfingerling red sea bream (P. major) reared in a floating netcage offshore Ondo, Hiroshima Prefecture, Japan.	Diseased red sea bream		Hiroshima Prefecture§gaz:00003784		pubmed:11594591|§http://www.microbiologyresearch.org/docserver/fulltext/ijsem/36/3/ijs-36-3-396.pdf?expires=1523695202&id=id&accname=guest&checksum=E4D047EE40130E095B1F0046D911A28B	Cell culture	Pacific Ocean region§gaz:00051073<§eco:0000313>Hiroshima Prefecture§gaz:00003784					Negative	Halotolerant				Aerobic					Yes	Tenacibaculum maritimum is a devastating bacterial pathogen of wild and farmed marine fish with a broad host range and a worldwide distribution. We report the complete genome sequence of the T. maritimum type strain NCIMB 2154T.	Finished	pubmed:28861057	17743	17743		biotools:CheckM	1.0.13	Desferrioxamine B (33%), ET-743 (8%), Carotenoid (28%), Sphingan polysaccharide (13%), O-antigen (15%)	Putative fatty acid cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Siderophore cluster|Terpene cluster			INRA			Flavobacteriia§taxonomy:117743<§eco:0000313>Tenacibaculum maritimum NCIMB 2154§taxonomy:1349785	Flavobacteriaceae§taxonomy:49546<§eco:0000313>Tenacibaculum maritimum NCIMB 2154§taxonomy:1349785	100	gtdb:GCF_900119795.1	Tenacibaculum§taxonomy:104267<§eco:0000313>Tenacibaculum maritimum NCIMB 2154§taxonomy:1349785	Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Tenacibaculum|Tenacibaculum maritimum		Flavobacteriales§taxonomy:200644<§eco:0000313>Tenacibaculum maritimum NCIMB 2154§taxonomy:1349785	Tenacibaculum maritimum NCIMB 2154§taxonomy:1349785	Bacteroidetes§taxonomy:976<§eco:0000313>Tenacibaculum maritimum NCIMB 2154§taxonomy:1349785	Tenacibaculum maritimum§taxonomy:107401<§eco:0000313>Tenacibaculum maritimum NCIMB 2154§taxonomy:1349785	NCIMB:2154		
