genome	gtdb_taxopath	gtdb_fastani_reference	genbank_assembly
MMP94537168	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix_A;s__Calothrix_A rhizosoleniae	gtdb:GCF_900185595.1	insdc.gca:GCA_900185595.1
MMP859946	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia intermedia	gtdb:GCF_000168035.1	insdc.gca:GCA_001153385.1
MMP859932	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia kristensenii	gtdb:GCF_000173715.1	insdc.gca:GCA_001144805.1
MMP859881	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia massiliensis	gtdb:GCF_000312485.1	insdc.gca:GCA_001151185.1
MMP859855	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia ruckeri	gtdb:GCF_000754815.1	insdc.gca:GCA_001166725.1
MMP78797668	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio ruber	gtdb:GCF_900163965.1	insdc.gca:GCA_900163965.1
MMP78796918	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio gazogenes	gtdb:GCF_900129185.1	insdc.gca:GCA_900163915.1
MMP72829168	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes	gtdb:GCF_900187225.1	insdc.gca:GCA_900162315.1
MMP5522912	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani	gtdb:GCF_900111645.1	insdc.gca:GCA_900773955.1
MMP5522911	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides methylutens	gtdb:GCF_000765475.1	insdc.gca:GCA_900773915.1
MMP5522910	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani	gtdb:GCF_900111645.1	insdc.gca:GCA_900774285.1
MMP5522909	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides		insdc.gca:GCA_900774055.1
MMP5126984	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum		insdc.gca:GCA_900620265.1
MMP5038423	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio cholerae	gtdb:GCF_000621645.1	insdc.gca:GCA_900604915.1
MMP4707923	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002171995	gtdb:GCA_002171995.1	insdc.gca:GCA_900474295.1
