id	cluster
mc16_3	amt
mc16_4	amt
mc16_5	amt
mc16_6	amt
mc16_7	amt
mc16_8	amt
mc16_10	amt
amt_168	amt
amt_542	amt
amt_553	amt
amt_548	amt
amt_620	amt
amt_729	amt
amt_766	amt
amt_57	amt
amt_20	amt
mc16_25	amt
amt_370	amt
amt_232	amt
amt_740	amt
amt_617	amt
amt_166	amt
amt_506	amt
amt_783	amt
amt_360	amt
amt_227	amt
amt_287	amt
amt_632	amt
amt_283	amt
amt_124	amt
amt_203	amt
amt_764	amt
amt_75	amt
amt_660	amt
amt_744	amt
amt_345	amt
amt_428	amt
amt_397	amt
amt_176	amt
amt_148	amt
amt_561	amt
amt_582	amt
amt_730	amt
amt_66	amt
amt_514	amt
amt_430	amt
amt_89	amt
amt_385	amt
amt_476	amt
amt_242	amt
amt_738	amt
amt_231	amt
amt_469	amt
mc16_39	amt
amt_85	amt
amt_510	amt
amt_434	amt
amt_225	amt
amt_741	amt
amt_114	amt
amt_253	amt
mc16_38	amt
mc16_40	amt
amt_569	amt
amt_537	amt
amt_415	amt
amt_366	amt
amt_736	amt
amt_147	amt
amt_39	amt
amt_532	amt
amt_80	amt
amt_574	amt
amt_139	amt
amt_162	amt
amt_189	amt
amt_315	amt
amt_786	amt
amt_563	amt
amt_142	amt
amt_312	amt
amt_338	amt
amt_688	amt
amt_67	amt
amt_718	amt
amt_197	amt
amt_745	amt
amt_519	amt
amt_440	amt
amt_511	amt
amt_295	amt
amt_215	amt
amt_217	amt
amt_480	amt
amt_583	amt
amt_153	amt
amt_557	amt
amt_26	amt
amt_71	amt
amt_594	amt
amt_762	amt
amt_22	amt
amt_16	amt
amt_86	amt
amt_108	amt
amt_241	amt
amt_540	amt
amt_9	amt
amt_117	amt
amt_600	amt
amt_606	amt
amt_328	amt
amt_653	amt
amt_187	amt
amt_1	amt
amt_651	amt
amt_482	amt
amt_643	amt
amt_296	amt
amt_212	amt
amt_103	amt
amt_505	amt
amt_467	amt
amt_45	amt
amt_663	amt
amt_361	amt
amt_93	amt
amt_216	amt
amt_327	amt
amt_91	amt
amt_727	amt
amt_769	amt
amt_298	amt
amt_245	amt
amt_562	amt
amt_552	amt
amt_179	amt
amt_559	amt
amt_534	amt
amt_713	amt
amt_790	amt
amt_423	amt
amt_502	amt
amt_167	amt
amt_2	amt
amt_450	amt
amt_79	amt
amt_195	amt
amt_621	amt
amt_69	amt
amt_313	amt
amt_334	amt
amt_701	amt
amt_335	amt
amt_257	amt
amt_276	amt
amt_3	amt
amt_484	amt
amt_722	amt
amt_791	amt
amt_274	amt
amt_152	amt
mc16_27	amt
mc16_28	amt
amt_573	amt
amt_525	amt
amt_775	amt
amt_716	amt
amt_639	amt
amt_640	amt
amt_399	amt
amt_529	amt
amt_418	amt
amt_208	amt
amt_52	amt
amt_156	amt
amt_316	amt
amt_462	amt
amt_284	amt
amt_12	amt
amt_678	amt
amt_263	amt
amt_656	amt
amt_412	amt
amt_607	amt
amt_429	amt
amt_751	amt
amt_554	amt
amt_649	amt
amt_577	amt
amt_568	amt
amt_634	amt
amt_443	amt
amt_190	amt
amt_483	amt
amt_789	amt
amt_375	amt
mc16_33	amt
amt_518	amt
mc16_18	amt
amt_239	amt
amt_325	amt
amt_267	amt
amt_230	amt
amt_299	amt
amt_272	amt
amt_355	amt
amt_307	amt
amt_278	amt
amt_466	amt
amt_451	amt
amt_530	amt
amt_700	amt
amt_624	amt
amt_60	amt
mc16_31	amt
amt_68	amt
amt_83	amt
amt_742	amt
amt_131	amt
amt_778	amt
amt_384	amt
amt_61	amt
amt_250	amt
amt_668	amt
amt_118	amt
mc16_23	amt
amt_796	amt
amt_213	amt
amt_339	amt
amt_84	amt
amt_538	amt
amt_333	amt
amt_182	amt
amt_795	amt
amt_6	amt
amt_233	amt
amt_513	amt
amt_48	amt
amt_442	amt
amt_17	amt
amt_784	amt
amt_558	amt
mc16_17	amt
mc16_19	amt
amt_605	amt
amt_770	amt
amt_477	amt
amt_38	amt
mc16_30	amt
amt_556	amt
amt_350	amt
mc16_13	amt
amt_35	amt
amt_579	amt
amt_777	amt
amt_376	amt
amt_7	amt
amt_129	amt
amt_228	amt
amt_496	amt
amt_55	amt
amt_319	amt
amt_209	amt
amt_565	amt
amt_369	amt
amt_618	amt
amt_662	amt
amt_175	amt
amt_303	amt
amt_746	amt
amt_218	amt
amt_665	amt
amt_198	amt
amt_400	amt
amt_633	amt
amt_717	amt
amt_255	amt
amt_238	amt
amt_676	amt
amt_543	amt
amt_155	amt
amt_300	amt
amt_648	amt
amt_614	amt
amt_670	amt
amt_243	amt
amt_235	amt
amt_343	amt
amt_362	amt
amt_8	amt
amt_51	amt
amt_113	amt
amt_683	amt
amt_797	amt
amt_528	amt
amt_460	amt
amt_308	amt
mc16_41	amt
amt_111	amt
amt_357	amt
amt_703	amt
amt_330	amt
amt_247	amt
amt_140	amt
amt_524	amt
amt_37	amt
amt_269	amt
amt_386	amt
amt_387	amt
amt_24	amt
amt_50	amt
amt_437	amt
amt_646	amt
amt_259	amt
amt_597	amt
amt_363	amt
amt_753	amt
amt_220	amt
amt_178	amt
amt_655	amt
amt_0	amt
amt_181	amt
amt_501	amt
amt_425	amt
amt_18	amt
amt_154	amt
amt_254	amt
amt_599	amt
mc16_32	amt
amt_792	amt
amt_202	amt
amt_664	amt
amt_342	amt
amt_720	amt
amt_733	amt
amt_121	amt
amt_461	amt
amt_15	amt
amt_515	amt
amt_380	amt
amt_531	amt
amt_458	amt
amt_326	amt
amt_526	amt
amt_472	amt
amt_677	amt
amt_223	amt
amt_602	amt
amt_630	amt
amt_551	amt
amt_687	amt
mc16_11	amt
mc16_12	amt
mc16_29	amt
amt_383	amt
amt_571	amt
amt_405	amt
amt_96	amt
amt_127	amt
amt_757	amt
amt_28	amt
amt_292	amt
amt_616	amt
amt_603	amt
amt_724	amt
amt_794	amt
amt_758	amt
amt_453	amt
amt_294	amt
amt_81	amt
amt_13	amt
amt_421	amt
amt_112	amt
amt_353	amt
mc16_22	amt
amt_495	amt
amt_229	amt
amt_748	amt
amt_409	amt
