base_ID	alt_elev	collection_date	depth	env_biome	env_feature	env_material	env_package	env_salinity	env_temp	geo_loc_name	geo_loc_name_GAZ	geo_loc_name_GAZ_ENVO	investigation_type	lat_lon	pathogenicity	project_name	assembly	isol_growth_condt	num_replicons	ref_biomaterial	microbe_package	sample_type	strain	isolation_source	collected_by	culture_collection	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	bacdive_id	curation_date	implementation_date	mmp_biome	silva_accession_SSU	silva_accession_LSU	uniprot_proteome_id	assembly_accession_genbank	assembly_accession_refseq	bioproject_accession	biosample_accession	genbank_accession	NCBI_refseq_accession	NCBI_taxon_identifier	annotation_provider	annotation_date	annotation_pipeline	annotation_method	annotation_software_revision	features_annotated	genes	cds	pseudo_genes	rrnas	complete_rrnas	partial_rrnas	total_trnas	unique_trnas	ncrna	frameshifted_genes	host_common_name	host_scientific_name	organism	full_scientific_name	disease	publication_pmid	isolation_country	isolation_comments	comments	sequencing_centers	body_sample_site	body_sample_subsite	other_clinical	gram_stain	cell_shape	motility	sporulation	temperature_range	optimal_temperature	halotolerance	oxygen_requirement	plasmids	genome_length	gc_content	refseq_cds	biovar	other_typing	type_strain	seq_meth	sequencing_depth	contigs	n50	genome_status	host_sex	host_health_stage	host_age	serovar	pathovar	mmp_ID	updated_date	chebi_id	chebi_name	chembl_id	compound_name	uniprot_id	uniprot_description	antismash_types	antismash_clusters	analysis_project_type	estimated_completeness	estimated_contamination	strain_heterogeneity	qs	mapping	mapping_version	quality_assessment	quality_assessment_version	assembly_version	binning	binning_version
1	missing	missing	missing	missing	missing	NA	Host-associated	missing	missing	United Kingdom|Scotland	Scotland	GAZ:00002639	Bacteria_Archaea	missing	Animal	missing	missing	9444074	2	8799984	missing	Cell culture	B2/94|NCTC 12890	Spleen of a common seal (Phoca vitulina)	G.Froster	NCTC 12890	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella pinnipedialis	131567|2|1224|28211|356|118882|234|120576|520461	Cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella|Brucella pinnipedialis|Brucella pinnipedialis B2/94	missing	2016-05-20	2016-11-22	Marine	41867	41867	UP000004689|UP000010095	GCA_000221005.1	GCF_000221005.1	PRJNA41867	SAMN02603341	CP002078.1|CP002079.1	NC_015857.1|NC_015858.1	520461	NCBI	2015-08-18	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3478	3410	134	3, 3, 3	3, 3, 3	0, 0, 0	55	22	1	100	Common seal	Phoca vitulina	Brucella pinnipedialis	Brucella pinnipedialis B2/94	missing	21745361	United Kingdom	Isolated from the spleen of a common seal (Phoca vitulina)	Brucella pinnipedialis B2/94. Brucella pinnipedialis B2/94 (NCTC 12890; BCCN 94-73) was isolated from the spleen of a common seal (Phoca vitulina). This strain is the type strain and will be used for comparative analysis with other Brucella species.	INRA	Spleen	missing	missing	Negative	Cocci (Spherical)	No	missing	Mesophilic	missing	missing	Aerobic	0	3399269	57.20	3325	missing	missing	Yes	454 GS FLX|AB 3730 Genetic Analyzer	missing	2	2138342	Finished	missing	missing	missing	missing	missing	MMP02603341	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Nonribosomal peptide synthetase cluster|Terpene cluster	Lipopolysaccharide (75%), Succinoglycan (33%), Turnerbactin (30%), Meilingmycin (2%), Capsular polysaccharide (11%), Lipopolysaccharide (5%), Amphotericin (15%)	Whole genome sequencing (WGS)	99.5	0.82	14.29	95.4	missing	missing	CheckM	1.0.13	missing	missing	missing
2	missing	missing	2500	Marine benthic biome (ENVO:01000024)	Sea floor (ENVO:00000482)	Sediment (ENVO:00002007)	Sediment	missing	missing	Philippines|Sulu Trough	Sulu Trough	GAZ:00002419	Bacteria_Archaea	missing	missing	missing	Phred|Phrap|Consed	Https://www.atcc.org/~/ps/BAA-1253D-5.ashx	2	15746425	NA	Cell culture	SS9|ATCC BAA-1253	Sea floor sediment	University of California	ATCC BAA-1253	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium profundum	131567|2|1224|1236|135623|641|657|74109|298386	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Photobacterium|Photobacterium profundum|Photobacterium profundum SS9	missing	2016-05-20	2016-11-22	Marine	13128	13128	UP000000593	GCA_000196255.1	GCF_000196255.1	PRJNA13128	SAMEA3138336	CR354531|CR354532|CR377818	NC_006370.1|NC_006371.1|NC_005871.1	298386	NCBI	2016-01-08	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	5864	5642	288	19, 15, 15	19, 15, 15	0, 0, 0	175	24	4	161	NA	NA	Photobacterium profundum	Photobacterium profundum SS9	missing	15746425	Philippines	Isolated at a depth of 2500 m from the Sulu Trough	Photobacterium profundum strain SS9.This is the type strain for the species. It was isolated at a depth of 2500 m from the Sulu Trough. The genome contains 15 rRNA operons; the majority of which are on chromosome 1. There are 2 ATP synthase operons; one on each chromosome. Chromosome 1 contains more conserved genes; while chromosome 2 contains a large proportion of unique genes. High-pressure adaption has been studied by microarray analysis (ArrayExpress - E-MEXP-210).	University of Padova; Italy	NA	NA	NA	Negative	Bacilli (Rod)	Yes	missing	Psychrophilic	15	Non Halophilic	Facultative	1	6403281	41.73	5489	missing	missing	Yes	AB 3730 Genetic Analyzer	missing	3	4085304	Finished	NA	NA	NA	missing	missing	MMP3138336	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Nonribosomal peptide synthetase cluster|Other uncategorized cluster|Type I PKS cluster - Nonribosomal peptide synthetase cluster|Thiopeptide cluster	K-antigen (9%), Svaricin (6%), Eicoseicosapentaenoic acid (94%), Menaquinone (16%), O-antigen (10%), APE Vf (95%), Enterobactin (20%)	Whole genome sequencing (WGS)	99.52	0.35	0	97.77	missing	missing	CheckM	1.0.13	missing	missing	missing
3	missing	missing	missing	Marginal sea biome (ENVO:01000046)	Sea coast (ENVO:00000303)	Sea water (ENVO:00002149)	Water	missing	missing	Norway|Svalbard|Kongsfjorden	Kongsfjorden	GAZ:00103800	Bacteria_Archaea	79.001940, 11.309200	missing	missing	Phred|Phrap|Consed	21515764	1	21515764	NA	Cell culture	IMCC9063	Coastal water	Inha University	IMCC9063	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. IMCC9063	131567|2|1224|28211|54526|1655514|198251|1002672	Cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Pelagibacterales|Pelagibacteraceae|Candidatus Pelagibacter|Candidatus Pelagibacter sp. IMCC9063	missing	2016-05-20	2016-11-22	Marine	62303	62303	UP000009181	GCA_000195085.1	GCF_000195085.1	PRJNA62303	SAMN02603337	CP002511	NC_015380.1	1002672	NCBI	2015-07-30	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	1391	1354	46	1, 1, 1	1, 1, 1	0, 0, 0	32	22	1	45	NA	NA	Candidatus Pelagibacter	Candidatus Pelagibacter sp. IMCC9063	missing	21515764	Norway	Strain IMCC9063 was isolated from a surface sea water sample collected off the coastal region near the Dasan Korean Arctic Station in Ny-Ålesund, Svalbard,	Genomic DNA from Strain IMCC9063 from SAR11 group 3 isolated from an Arctic Envirionment.	Inha University|Chunlab Inc.|Korea Polar Research Institute	NA	NA	NA	missing	missing	missing	missing	Psychrophilic	missing	missing	missing	0	1284728	31.67	1292	missing	missing	missing	454 GS FLX Titanium|AB 3730 Genetic Analyzer	49	1	1284728	Finished	NA	NA	NA	missing	missing	MMP02603337	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Terpene cluster	NA	Whole genome sequencing (WGS)	98.81	0	0	98.81	missing	missing	CheckM	1.0.13	missing	missing	missing
4	missing	missing	missing	Marginal sea biome (ENVO:01000046)	Sea shore (ENVO:00000485)	Sea water (ENVO:00002149)	Water	missing	missing	South Korea|Sea of Japan|East Sea of Korea	Sea of Japan	GAZ:00007658	Bacteria_Archaea	missing	missing	missing	missing	20382761	missing	20382761	NA	Cell culture	IMCC1322	Surface water	Korea Ocean Research & Development Institute	IMCC1322	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Candidatus Puniceispirillum	Candidatus Puniceispirillum marinum	131567|2|1224|28211|82117|62654|767891|767892|488538	Cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|unclassified Alphaproteobacteria|SAR116 cluster|Candidatus Puniceispirillum|Candidatus Puniceispirillum marinum|Candidatus Puniceispirillum marinum IMCC1322	missing	2016-05-20	2016-11-22	Marine	28081	28081	UP000007460	GCA_000024465.1	GCF_000024465.1	PRJNA28081	SAMN02603472	CP001751	NC_014010.1	488538	NCBI	2015-07-30	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	2614	2572	4	1, 1, 1	1, 1, 1	0, 0, 0	38	23	1	2	NA	NA	Candidatus Puniceispirillum marinum	Candidatus Puniceispirillum marinum IMCC1322	missing	20382761	South Korea	Isolated from a surface sea water sample from the Western Pacific Ocean Margin (East Sea of Korea),	Candidatus Puniceispirillum marinum IMCC1322. This strain was isolated from the East Sea of Korea.	KORDI/Inha Univ|KORDI|Inha Univ; Division of Biology and Ocean Sciences; Rebublic of Korea; Incheon|Inha University|Macrogen;Inc.	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	0	2753528	48.85	2538	missing	missing	missing	missing	missing	1	2753528	Finished	NA	NA	NA	missing	missing	MMP02603472	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Terpene cluster	O-antigen (21%)	Whole genome sequencing (WGS)	99.94	0.15	0	99.19	missing	missing	CheckM	1.0.13	missing	missing	missing
5	missing	missing	10|40	Mediterranean sea biome (ENVO:01000047)	Sea coast (ENVO:00000303)	Sediment (ENVO:00002007)	Sediment	missing	missing	Spain|Mediterranean Sea|Western Basin	Mediterranean Sea Western Basin	GAZ:00008959	Bacteria_Archaea	missing	missing	missing	Celera Assembler	3202629|PMC204290	1	3202629	NA	Cell culture	AN10|CCUG 29243	Sediment	Facultad de Ciencias:Universitat de les Illes Balears;	CCUG 29253	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri	131567|2|1224|1236|72274|135621|286|136846|578833|316|1196835	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas stutzeri group|Pseudomonas stutzeri subgroup|Pseudomonas stutzeri|Pseudomonas stutzeri CCUG 29243	missing	2016-05-20	2016-11-22	Marine	167996	167996	UP000006063	GCA_000267545.1	GCF_000267545.1	PRJNA167996	SAMN02603608	CP003677.1	NC_018028.1	1196835	NCBI	2015-08-15	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4417	4339	91	4, 4, 4	4, 4, 4	0, 0, 0	64	24	1	54	NA	NA	Pseudomonas stutzeri	Pseudomonas stutzeri CCUG 29243	missing	23144395	Mediterranean Sea	Isolated from sediments of the West Mediterranean Sea. Enrichment and isolation. Samples of upper (2 to 3 cm) Mediterranean sediment were taken from an area offshore (0.5 to 2.5 km off the coast; depth, 10 to 40 m) from Barcelona, Spain. This area is strongly polluted by industrial and urban wastewater.	Pseudomonas stutzeri CCUG 29253 (P. stutzeri AN10) is a well characterized naphthalene degrading bacterium isolated from sediments of the West Mediterranean Sea. Although it is able to grow with naphthalene and/or salicylate as unique carbon and energy source; salicylate seem to be toxic for strain AN10 at concentrations higher than 3 mM. Evolutionary experiments to adapt strain AN10 to higher salicylate concentrations are now underway.	MICROGEN|Microbial Comparative Genomics	NA	NA	NA	Negative	Bacilli (Rod)	Yes	No	Mesophilic	30	missing	Aerobic	0	4709065	62.67	4218	missing	missing	missing	454 GS FLX Titanium|Illumina HiSeq 2000	24|40|00	1	4709065	Finished	NA	NA	NA	missing	missing	MMP02603608	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Siderophore cluster|Terpene cluster	Carotenoid (100%), O-antigen (21%), Desferrioxamine B (60%), Fengycin (13%), Ectoine (83%), Lipopolysaccharide (11%)	Whole genome sequencing (WGS)	100	0.14	0	99.3	missing	missing	CheckM	1.0.13	7	missing	missing
6	missing	1999	2500	Marine benthic biome (ENVO:01000024)	Marine hydrothermal vent (ENVO:01000122)	NA	Host-associated	missing	missing	East Pacific Rise|Axial Caldera	East Pacific Rise	GAZ:00002416	Bacteria_Archaea	12.816700, -103.933300	missing	missing	Celera Assembler	11571157	1	11571157	NA	Cell culture	AmH|DSM 18972|ATCC BAA-1463	Epidermis of Alvinella pompejan	University of Delaware	DSM 18972|ATCC BAA-1463	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Nautilia	Nautilia profundicola	131567|2|1224|68525|29547|235899|224467|191291|244787|598659	Cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Nautiliales|Nautiliaceae|Nautilia|Nautilia profundicola|Nautilia profundicola AmH	10430	2016-05-20	2016-11-22	Marine	32573	32573	UP000000448	GCA_000021725.1	GCF_000021725.1	PRJNA32573	SAMN02603431	CP001279	NC_012115.1	598659	NCBI	2015-07-30	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	1781	1717	13	4, 4, 4	4, 4, 4	0, 0, 0	49	23	1	12	Pompeii worm	Alvinella pompejan	Nautilia profundicola	Nautilia profundicola AmH	missing	19197347	Pacific Ocean	This strain was isolated from the epidermis of Alvinella pompejan	Nautilia profundicola AM-H. Nautilia sp.strain AM-H; also known as Nautilia profundicola; was the first published Epsilonproteobacterium to be isolated from hydrothermal vents. This strain was isolated from the epidermis of Alvinella pompejana.	J. Craig Venter Institute	missing	missing	missing	Negative	Vibrios (Slightly curved rod)	Yes	missing	Thermophilic	45	missing	Anaerobic	0	1676445	33.51	1699	missing	missing	Yes	AB 3730 Genetic Analyzer	missing	1	1676445	Finished	missing	missing	missing	missing	missing	MMP02603431	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Thiopeptide cluster	K-antigen (4%)	Whole genome sequencing (WGS)	99.59	0.41	0	97.54	missing	missing	CheckM	1.0.13	3	missing	missing
7	missing	2010-10-20	missing	missing	missing	NA	Host-associated	missing	missing	Chile	Chile	GAZ:00002825	Bacteria_Archaea	missing	Fish	missing	WGS-Assembler (Celera)	missing	1	missing	Microbe; version 1.0	Cell culture	PSCGR01	Kidney of rainbow trout	missing	PSCGR01	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis	131567|2|1224|1236|72273|135616|1237|1238	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia|Piscirickettsia salmonis	missing	2016-05-20	2016-11-22	Marine	304760	304760	UP000065118	GCA_001514395.1	GCF_001514395.1	PRJNA304760	SAMN04309069	CP013944|CP013945|CP013946|CP013947|CP013948	NZ_CP013944.1	1238	NCBI	2016-01-16	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3590	3512	346	6, 6, 6	6, 6, 6	0, 0, 0	57	23	4	118	Rainbow trout	Oncorhynchus mykiss	Piscirickettsia salmonis	Piscirickettsia salmonis PSCGR01	missing	missing	Chile	missing	Obtained from Oncorhynchus mykiss	University of Chile	Kidney	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	4	3489745	39.65	3443	missing	missing	missing	Illumina|PacBio RS	1997|12|00	5	3167361	Finished	missing	missing	missing	missing	missing	MMP04309069	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Siderophore cluster	K-antigen (6%), K-antigen (3%), Polyhydroxyalkanoate (50%)	Whole genome sequencing (WGS)	98.81	0	0	98.81	missing	missing	CheckM	1.0.13	8.2	missing	missing
8	missing	1974	missing	missing	missing	NA	Host-associated	missing	missing	Japan	Japan	GAZ:00002747	Bacteria_Archaea	missing	Fish	missing	Phred|Phrap|Consed	1883715	1	1883715	NA	Cell culture	YT-3|ATCC 49156|DSM 6783|NCIMB 13208	Kidney	Kochi University	ATCC 49156|DSM 6783|NCIMB 13208	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	131567|2|1783272|1239|91061|186826|1300|1357|1363|420889	Cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus|Lactococcus garvieae|Lactococcus garvieae ATCC 49156	14683	2016-05-20	2016-11-22	Marine	191896	191896	UP000008521	GCA_000269925.1	GCF_000269925.1	PRJDA18705	SAMD00060911	AP009332.1	NC_015930.1	420889	NCBI	2016-10-10	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	1992	1911	54	6, 5, 5	6, 5, 5	0, 0, 0	63	22	3	36	Yellowtail	Seriola quinqueradiata	Lactococcus garvieae	Lactococcus garvieae ATCC 49156	missing	21829716	Japan	missing	Previous name was Enterococcus seriolicida	missing	Kidney	missing	missing	Positive	Oval	No	No	missing	missing	missing	missing	0	1963965	38.77	1904	missing	missing	No	AB 3730xL Genetic Analyzer	9.6	1	1963965	Finished	missing	Diseased	missing	missing	missing	MMP02596969	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster	Polysaccharide (23%), R1128 (14%)	Whole genome sequencing (WGS)	100	0	0	100	missing	missing	CheckM	1.0.13	missing	missing	missing
9	missing	missing	missing	Marginal sea biome (ENVO:01000046)	Sea coast (ENVO:00000303)	Sea water (ENVO:00002149)	Water	missing	missing	USA|Washington|Puget Sound	Puget Sound	GAZ:00002554	Bacteria_Archaea	47.609100, -122.569300	missing	missing	missing	missing	1	NA	NA	Cell culture	MCS10	Sea water	missing	missing	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Maricaulis	Maricaulis maris	131567|2|1224|28211|204455|69657|74317|74318|394221	Cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Maricaulis|Maricaulis maris|Maricaulis maris MCS10	missing	2016-05-20	2016-11-22	Marine	17333	17333	UP000001964	GCA_000014745.1	GCF_000014745.1	PRJNA17333	SAMN02598382	CP000449	NC_008347.1	394221	NCBI	2015-07-30	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3172	3117	18	10, 6, 6	2, 2, 2	0, 0, 0	84	22	3	9	NA	NA	Maricaulis maris	Maricaulis maris MCS10	missing	missing	United States of America	Isolated from Puget Sound in Washington and will be used for comparative analysis	Maricaulis maris MCS10. Maricaulis maris MCS10 was isolated from Puget Sound in Washington and will be used for comparative analysis.	US DOE Joint Genome Institute|DOE Joint Genome Institute|JGI-PGF	NA	NA	NA	Negative	Bacilli (Rod)	Yes	No	Mesophilic	20|25	missing	Facultative	0	5718991	35.99	3064	missing	missing	missing	Sanger	missing	1	5718991	Finished	NA	NA	NA	missing	missing	MMP02598382	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster	Xenocyloins (25%), Lipopolysaccharide (16%)	Whole genome sequencing (WGS)	99.51	0	0	99.51	missing	missing	CheckM	1.0.13	missing	missing	missing
10	missing	missing	10898	Marine benthic biome (ENVO:01000024)	Ocean trench (ENVO:00000275)	Mud (ENVO:01000001)	Sediment	missing	missing	Pacific Ocean|Marinas Trench	Marinas Trench	GAZ:00002421	Bacteria_Archaea	11.368300, 142.430800	missing	missing	Celera Assembler	9680302	1	9680302	NA	Cell culture	MT-1	Mud recovered from the depth of 11000 m	Japan Marine Science and Technology Center	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. MT-1	131567|2|1224|1236|72274|135621|286|150396	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. MT-1	missing	2016-05-20	2016-11-22	Marine	2890	2890	UP000031648	GCA_000828755.1	GCF_000828755.1	PRJDB2890	SAMD00017418	AP014655.1	NZ_AP014655.1	150396	NCBI	2016-05-05	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4513	4442	108	4, 4, 5	4, 3, 3	0, 0, 0	59	24	4	66	NA	NA	Pseudomonas	Pseudomonas sp. MT-1	missing	25523772	Pacific Ocean	Isolated from the mud recovered from the depth of 11;000 m in Mariana Trench	Pseudomonas sp. strain MT-1 is the first-identified deep-sea denitrifier isolated from the mud recovered from the depth of 11;000 m in Mariana Trench. We report the genome sequence of this bacterium; which contribute to the understanding of denitrification and bioenergetics in deep sea.	Nihon University	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	missing	4861259	60.08	4380	missing	missing	missing	454 GS FLX Titanium	31.5	1	4861259	Finished	NA	NA	NA	missing	missing	MMP00017418	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Nonribosomal peptide synthetase cluster|Terpene cluster	Ectoine (83%), O-antigen (20%), Carotenoid (100%), Lipopolysaccharide (36%), Fengycin (13%), Enterobactin (16%), Lipopolysaccharide (5%), Polysaccharide B (6%), Svaricin (6%), Polysaccharide B (10%), Xenocyloins (25%), APE Vf (40%)	Whole genome sequencing (WGS)	100	0.14	0	99.3	missing	missing	CheckM	1.0.13	5.3	missing	missing
